playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PPG,RPG,ORPG,DRPG,APG,SPG,BPG,MPG,TPG,FG%,FT%,3PT%,postPPG,postRPG,postORPG,postDRPG,postAPG,postSPG,postBPG,postMPG,postTPG,postFG%,postFT%,post3PT%
stricer01,501,0,10189,3780,224,1093,1317,1203,422,41,668,959,3400,1333,860,710,1151,404,20,0,201,70,5,20,25,34,8,1,13,21,65,22,23,21,30,5,7.5449102,2.628742515,0.447105788,2.181636727,2.401197605,0.842315369,0.081836327,20.33732535,1.333333333,0.392058824,0.825581395,0.350999131,3.5,1.25,0.25,1,1.7,0.4,0.05,10.05,0.65,0.338461538,0.913043478,0.166666667
stricma01,281,0,3415,1281,268,503,771,102,79,110,163,321,1105,539,301,201,9,2,10,0,62,23,3,10,13,1,4,1,4,4,18,10,8,3,0,0,4.5587189,2.743772242,0.953736655,1.790035587,0.362989324,0.28113879,0.391459075,12.15302491,0.580071174,0.487782805,0.667774086,0.222222222,2.3,1.3,0.3,1,0.1,0.4,0.1,6.2,0.4,0.555555556,0.375,
stricro01,1,0,4,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0000000,0,0,0,0,0,0,4,0,0.333333333,,,,,,,,,,,,,,
stricro02,1094,0,33633,14463,1172,2912,4084,7987,1616,215,2862,2048,11928,5418,4759,3432,691,195,52,0,1597,699,65,142,207,390,56,11,125,135,617,275,197,139,35,10,13.2202925,3.73308958,1.071297989,2.66179159,7.300731261,1.47714808,0.196526508,30.74314442,2.616087751,0.454225352,0.721159908,0.282199711,13.44230769,3.980769231,1.25,2.730769231,7.5,1.076923077,0.211538462,30.71153846,2.403846154,0.445705024,0.705583756,0.285714286
stroejo01,46,0,293,82,29,56,85,23,3,14,27,51,84,31,30,20,2,0,1,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.7826087,1.847826087,0.630434783,1.217391304,0.5,0.065217391,0.304347826,6.369565217,0.586956522,0.369047619,0.666666667,0,3,0,0,0,0,0,0,1,0,1,,1
stronde01,456,0,8548,3088,783,1430,2213,291,203,94,421,740,2483,1067,1199,943,61,11,10,0,292,76,33,41,74,7,6,3,20,29,54,26,33,24,1,0,6.7719298,4.853070175,1.717105263,3.135964912,0.638157895,0.445175439,0.206140351,18.74561404,0.923245614,0.42972211,0.786488741,0.180327869,7.6,7.4,3.3,4.1,0.7,0.6,0.3,29.2,2,0.481481481,0.727272727,0
stronte01,10,0,0,36,0,0,0,0,0,0,0,0,0,13,0,10,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,2,0,4,0,0,3.6000000,0,0,0,0,0,0,0,0,,,,2.666666667,0,0,0,0,0,0,0,0,,,
strotla01,13,0,155,60,9,6,15,14,9,1,17,15,73,24,14,10,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6153846,1.153846154,0.692307692,0.461538462,1.076923077,0.692307692,0.076923077,11.92307692,1.307692308,0.328767123,0.714285714,0.133333333,,,,,,,,,,,,
stroujo01,9,0,88,25,7,6,13,9,1,0,4,7,34,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7777778,1.444444444,0.777777778,0.666666667,1,0.111111111,0,9.777777778,0.444444444,0.323529412,0.75,,,,,,,,,,,,,
stroure01,7,0,33,20,0,0,2,1,0,0,9,7,11,5,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571429,0.285714286,0,0,0.142857143,0,0,4.714285714,1.285714286,0.454545455,0.9,1,,,,,,,,,,,,
strumch01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
stuckro01,334,102,9927,4603,276,767,1043,1465,348,48,675,836,3827,1622,1506,1256,367,103,21,4,508,199,13,28,41,79,18,2,29,44,177,67,72,63,15,2,13.7814371,3.122754491,0.826347305,2.296407186,4.386227545,1.041916168,0.143712575,29.72155689,2.020958084,0.423830677,0.833997344,0.280653951,9.476190476,1.952380952,0.619047619,1.333333333,3.761904762,0.857142857,0.095238095,24.19047619,1.380952381,0.378531073,0.875,0.133333333
stumpge01,148,0,0,783,0,0,0,118,0,0,0,227,1040,315,221,153,0,0,3,0,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0,5.2905405,0,0,0,0.797297297,0,0,0,0,0.302884615,0.692307692,,0.666666667,0,0,0,0,0,0,0,0,0.333333333,,
stutzst01,166,0,0,1181,0,0,0,188,0,0,0,397,1573,402,464,377,0,0,11,0,0,104,0,0,0,8,0,0,0,31,117,32,49,40,0,0,7.1144578,0,0,0,1.13253012,0,0,0,0,0.255562619,0.8125,,9.454545455,0,0,0,0.727272727,0,0,0,0,0.273504274,0.816326531,
stylejo01,20,0,0,34,0,0,0,0,0,0,0,0,0,15,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7000000,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
suddisa01,6,0,0,14,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333333,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
sueseke01,208,0,671,514,0,0,0,0,0,0,0,219,65,158,227,198,0,0,29,0,0,91,0,0,0,0,0,0,0,0,0,29,8,33,0,0,2.4711538,0,0,0,0,0,0,3.225961538,0,2.430769231,0.872246696,,3.137931034,0,0,0,0,0,0,0,0,,4.125,
suitega01,30,0,140,42,0,0,41,2,0,0,0,20,54,19,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4000000,1.366666667,0,0,0.066666667,0,0,4.666666667,0,0.351851852,0.444444444,,,,,,,,,,,,,
sullibo01,87,0,0,265,0,0,0,0,0,0,0,109,0,89,115,87,0,0,10,0,0,23,0,0,0,0,0,0,0,0,0,8,11,7,0,0,3.0459770,0,0,0,0,0,0,0,0,,0.756521739,,2.3,0,0,0,0,0,0,0,0,,0.636363636,
sullija01,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
sullija02,41,0,729,275,0,0,68,59,0,0,0,95,277,99,97,71,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7073171,1.658536585,0,0,1.43902439,0,0,17.7804878,0,0.357400722,0.731958763,0.25,,,,,,,,,,,,
sullijo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
sulliqu01,41,0,801,292,0,0,172,17,0,0,0,113,275,115,82,62,1,0,1,0,20,5,0,0,5,0,0,0,0,5,4,2,1,1,0,0,7.1219512,4.195121951,0,0,0.414634146,0,0,19.53658537,0,0.418181818,0.756097561,0,5,5,0,0,0,0,0,20,0,0.5,1,
summebi01,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
summeda01,81,7,813,276,24,56,80,28,18,8,37,104,264,102,67,43,79,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4074074,0.987654321,0.296296296,0.691358025,0.345679012,0.222222222,0.098765432,10.03703704,0.456790123,0.386363636,0.641791045,0.367088608,,,,,,,,,,,,
sumptba01,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
sundedo01,113,0,2636,874,0,0,281,224,0,0,0,320,881,287,410,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7345133,2.486725664,0,0,1.982300885,0,0,23.32743363,0,0.325766175,0.731707317,,,,,,,,,,,,,
sundobr01,102,0,524,173,32,75,107,18,15,14,30,106,222,79,19,10,24,5,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.6960784,1.049019608,0.31372549,0.735294118,0.176470588,0.147058824,0.137254902,5.137254902,0.294117647,0.355855856,0.526315789,0.208333333,2,0,0,0,0,0,0,2,0,1,,
sundvjo01,502,0,8811,3886,132,422,554,1469,220,5,560,601,3642,1647,431,366,576,226,10,0,157,59,2,5,7,25,4,0,9,6,57,25,6,5,18,4,7.7410359,1.103585657,0.262948207,0.84063745,2.926294821,0.438247012,0.009960159,17.55179283,1.115537849,0.452224053,0.849187935,0.392361111,5.9,0.7,0.2,0.5,2.5,0.4,0,15.7,0.9,0.438596491,0.833333333,0.222222222
supruma01,27,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7407407,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
surabo01,657,0,15596,5654,586,1654,2240,2474,641,142,1231,1477,4628,1918,2024,1395,1303,423,13,0,231,63,6,25,31,21,9,0,17,23,54,23,15,10,15,7,8.6057839,3.409436834,0.891933029,2.517503805,3.765601218,0.97564688,0.216133942,23.73820396,1.873668189,0.414433881,0.689229249,0.324635457,4.846153846,2.384615385,0.461538462,1.923076923,1.615384615,0.692307692,0,17.76923077,1.307692308,0.425925926,0.666666667,0.466666667
surhodi01,58,0,545,178,0,0,94,32,0,0,0,89,190,56,92,66,0,0,4,0,13,4,0,0,2,2,0,0,0,2,4,2,0,0,0,0,3.0689655,1.620689655,0,0,0.551724138,0,0,9.396551724,0,0.294736842,0.717391304,,1,0.5,0,0,0.5,0,0,3.25,0,0.5,,
sutorge01,79,0,1038,380,198,205,404,30,0,0,71,203,443,151,131,78,1,0,1,0,3,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,4.8101266,5.113924051,2.506329114,2.594936709,0.379746835,0,0,13.13924051,0.898734177,0.340857788,0.595419847,0,0,0,0,0,0,0,0,3,1,0,0,
suttlda01,46,0,493,272,21,28,49,48,21,0,33,49,227,115,49,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9130435,1.065217391,0.456521739,0.608695652,1.043478261,0.456521739,0,10.7173913,0.717391304,0.50660793,0.857142857,0,,,,,,,,,,,,
suttogr01,168,0,1946,761,22,131,153,284,84,13,183,317,687,272,136,101,321,116,5,0,38,7,3,2,5,5,1,1,1,4,13,2,3,3,7,0,4.5297619,0.910714286,0.130952381,0.779761905,1.69047619,0.5,0.077380952,11.58333333,1.089285714,0.395924309,0.742647059,0.361370717,1.4,1,0.6,0.4,1,0.2,0.2,7.6,0.2,0.153846154,1,0
svendge01,11,0,0,45,0,0,0,0,0,0,0,0,0,18,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0909091,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
swageke01,80,0,2477,987,327,501,828,95,0,0,114,242,892,364,424,259,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3375000,10.35,4.0875,6.2625,1.1875,0,0,30.9625,1.425,0.408071749,0.610849057,0,,,,,,,,,,,,
swainbe01,58,0,708,265,0,0,262,29,0,0,0,127,244,99,110,67,0,0,5,0,27,5,0,0,14,1,0,0,0,4,6,2,2,1,0,0,4.5689655,4.517241379,0,0,0.5,0,0,12.20689655,0,0.405737705,0.609090909,,1,2.8,0,0,0.2,0,0,5.4,0,0.333333333,0.5,
swankev01,13,0,0,20,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5384615,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
swansge01,11,0,0,13,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1818182,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,,,
swansha01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
swansno01,63,0,611,100,0,0,110,33,0,0,0,91,137,31,64,38,0,0,6,0,23,8,0,0,5,0,0,0,0,5,7,3,3,2,0,0,1.5873016,1.746031746,0,0,0.523809524,0,0,9.698412698,0,0.226277372,0.59375,,1.333333333,0.833333333,0,0,0,0,0,3.833333333,0,0.428571429,0.666666667,
swartda01,109,0,3127,1914,0,0,718,192,0,0,0,419,1476,594,769,692,81,34,4,0,120,83,0,0,24,5,0,0,0,15,56,24,39,35,3,0,17.5596330,6.587155963,0,0,1.76146789,0,0,28.68807339,0,0.402439024,0.899869961,0.419753086,20.75,6,0,0,1.25,0,0,30,0,0.428571429,0.897435897,0
sweetmi01,233,0,3610,1516,400,645,1045,145,73,107,277,569,1164,564,563,388,2,0,11,0,180,61,20,23,43,7,3,7,7,32,47,21,27,19,0,0,6.5064378,4.484978541,1.716738197,2.768240343,0.622317597,0.313304721,0.459227468,15.49356223,1.188841202,0.484536082,0.689165187,0,5.545454545,3.909090909,1.818181818,2.090909091,0.636363636,0.272727273,0.636363636,16.36363636,0.636363636,0.446808511,0.703703704,
swiftro01,97,0,1501,416,122,254,376,20,26,86,71,224,340,172,118,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2886598,3.87628866,1.257731959,2.618556701,0.206185567,0.268041237,0.886597938,15.4742268,0.731958763,0.505882353,0.610169492,,,,,,,,,,,,,
swiftsk01,283,0,6839,3279,154,477,631,820,3,0,700,915,2738,1218,848,713,436,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5865724,2.229681979,0.544169611,1.685512367,2.897526502,0.010600707,0,24.16607774,2.473498233,0.444850256,0.840801887,0.298165138,,,,,,,,,,,,
swiftst01,547,0,10800,4582,886,1650,2536,275,354,683,690,1357,3623,1713,1650,1154,27,2,7,0,122,52,13,20,33,4,4,6,5,9,46,21,15,10,0,0,8.3765996,4.636197441,1.619744059,3.016453382,0.50274223,0.647166362,1.248628885,19.7440585,1.26142596,0.472812586,0.699393939,0.074074074,7.428571429,4.714285714,1.857142857,2.857142857,0.571428571,0.571428571,0.857142857,17.42857143,0.714285714,0.456521739,0.666666667,
swihawi01,15,0,0,39,0,0,0,0,0,0,0,0,0,14,0,11,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6000000,0,0,0,0,0,0,0,0,,,,0.5,0,0,0,0,0,0,0,0,,,
swinsaa01,9,0,51,24,3,5,8,3,1,0,5,8,18,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666667,0.888888889,0.333333333,0.555555556,0.333333333,0.111111111,0,5.666666667,0.555555556,0.555555556,0.8,,,,,,,,,,,,,
